train_id,route,source,destination,distance_km,class,quota,date,day_of_week,is_holiday_or_festival,total_seats,seats_requested,seats_available_at_booking_time,booking_outcome,booking_attempt_timestamp
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,2A,General,28-11-2027,Sunday,1,46,1,33,success,08-11-2027 06:01
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,General,20-06-2027,Sunday,1,72,5,34,success,23-05-2027 13:10
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,Tatkal,06-07-2027,Tuesday,0,72,7,23,success,09-06-2027 13:23
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,General,21-10-2027,Thursday,0,64,7,33,success,20-09-2027 19:15
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,3A,Tatkal,14-04-2027,Wednesday,0,64,4,30,success,29-03-2027 19:11
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,2A,General,26-06-2027,Saturday,1,46,7,29,success,10-06-2027 22:23
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,SL,Tatkal,02-09-2027,Thursday,0,72,4,31,success,23-08-2027 01:50
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,11-02-2027,Thursday,0,72,5,27,success,14-01-2027 19:35
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,29-06-2027,Tuesday,0,72,6,25,success,26-06-2027 01:28
T010,Delhi-Pune,New Delhi,Pune,1450,3A,General,21-08-2027,Saturday,1,64,2,30,success,24-07-2027 04:10
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,Tatkal,12-10-2027,Tuesday,0,64,1,24,success,01-10-2027 02:45
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,Tatkal,09-02-2027,Tuesday,0,72,3,33,success,15-01-2027 22:57
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,2A,Tatkal,18-07-2027,Sunday,1,46,4,13,success,21-06-2027 08:48
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,06-09-2027,Monday,0,72,2,24,success,17-08-2027 21:47
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,2A,Tatkal,26-09-2027,Sunday,1,46,6,18,success,28-08-2027 02:58
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,1A,Tatkal,07-07-2027,Wednesday,0,24,3,4,success,08-06-2027 17:09
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,SL,General,04-03-2027,Thursday,0,72,5,39,success,15-02-2027 17:16
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,3A,Tatkal,06-05-2027,Thursday,0,64,7,25,success,15-04-2027 05:45
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,24-02-2027,Wednesday,0,72,2,27,success,13-02-2027 05:14
T010,Delhi-Pune,New Delhi,Pune,1450,1A,Tatkal,09-12-2027,Thursday,0,24,4,9,success,05-12-2027 15:45
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,Tatkal,01-05-2027,Saturday,1,64,4,27,success,16-04-2027 06:14
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,1A,General,30-06-2027,Wednesday,0,24,6,13,success,27-06-2027 16:11
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,2A,General,29-07-2027,Thursday,0,46,2,22,success,19-07-2027 08:03
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,2A,Tatkal,07-10-2027,Thursday,0,46,4,27,success,25-09-2027 10:30
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,26-08-2027,Thursday,0,72,2,37,success,06-08-2027 23:02
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,Tatkal,20-09-2027,Monday,0,72,6,39,success,03-09-2027 19:48
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,13-02-2027,Saturday,1,64,2,31,success,08-02-2027 05:41
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,2A,General,10-07-2027,Saturday,1,46,2,20,success,30-06-2027 10:36
T009,Pune-Delhi,Pune,New Delhi,1450,1A,Tatkal,12-01-2027,Tuesday,0,24,4,3,fail,21-12-2026 19:25
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,11-02-2027,Thursday,0,72,5,35,success,30-01-2027 10:29
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,2A,Tatkal,15-06-2027,Tuesday,0,46,6,16,success,15-05-2027 15:08
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,2A,General,09-06-2027,Wednesday,0,46,6,25,success,12-05-2027 04:12
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,Tatkal,28-04-2027,Wednesday,0,72,5,27,success,17-04-2027 14:02
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,Tatkal,19-02-2027,Friday,0,64,6,21,success,02-02-2027 12:33
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,3A,Tatkal,21-03-2027,Sunday,1,64,2,24,success,09-03-2027 18:31
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,2A,Tatkal,09-02-2027,Tuesday,0,46,5,13,success,19-01-2027 20:55
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,SL,Tatkal,31-07-2027,Saturday,1,72,4,26,success,11-07-2027 07:27
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,1A,Tatkal,08-10-2027,Friday,0,24,5,3,fail,02-10-2027 02:35
T009,Pune-Delhi,Pune,New Delhi,1450,3A,General,25-04-2027,Sunday,1,64,7,37,success,21-04-2027 17:53
T010,Delhi-Pune,New Delhi,Pune,1450,3A,Tatkal,05-01-2027,Tuesday,0,64,6,23,success,07-12-2026 15:16
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,General,09-10-2027,Saturday,1,64,3,39,success,24-09-2027 00:49
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,2A,Tatkal,14-11-2027,Sunday,1,46,5,8,success,18-10-2027 10:17
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,Tatkal,18-09-2027,Saturday,1,72,1,27,success,14-09-2027 00:28
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,07-03-2027,Sunday,1,72,4,30,success,09-02-2027 23:17
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,05-12-2027,Sunday,1,72,1,24,success,25-11-2027 02:26
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,2A,Tatkal,25-06-2027,Friday,0,46,1,13,success,26-05-2027 06:40
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,Tatkal,21-10-2027,Thursday,0,64,2,27,success,10-10-2027 10:56
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,22-02-2027,Monday,0,72,3,37,success,16-02-2027 06:12
T009,Pune-Delhi,Pune,New Delhi,1450,3A,Tatkal,01-09-2027,Wednesday,0,64,4,30,success,11-08-2027 22:26
T010,Delhi-Pune,New Delhi,Pune,1450,3A,General,04-08-2027,Wednesday,0,64,6,33,success,28-07-2027 21:38
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,General,05-09-2027,Sunday,1,64,1,43,success,12-08-2027 03:34
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,Tatkal,30-05-2027,Sunday,1,72,5,17,success,15-05-2027 10:15
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,3A,Tatkal,17-01-2027,Sunday,1,64,1,24,success,27-12-2026 19:38
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,03-07-2027,Saturday,1,72,1,18,success,17-06-2027 13:23
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,General,02-06-2027,Wednesday,0,72,2,39,success,30-05-2027 21:59
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,3A,Tatkal,07-12-2027,Tuesday,0,64,3,30,success,25-11-2027 14:44
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,23-09-2027,Thursday,0,64,1,40,success,26-08-2027 01:05
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,21-10-2027,Thursday,0,72,3,25,success,13-10-2027 14:15
T009,Pune-Delhi,Pune,New Delhi,1450,1A,Tatkal,27-09-2027,Monday,0,24,6,17,success,28-08-2027 11:15
T010,Delhi-Pune,New Delhi,Pune,1450,SL,General,15-08-2027,Sunday,1,72,3,42,success,06-08-2027 18:29
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,Tatkal,25-09-2027,Saturday,1,64,1,26,success,19-09-2027 00:39
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,Tatkal,09-07-2027,Friday,0,72,5,37,success,01-07-2027 03:27
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,Tatkal,16-04-2027,Friday,0,72,7,30,success,29-03-2027 13:10
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,General,23-11-2027,Tuesday,0,64,6,47,success,06-11-2027 19:23
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,11-02-2027,Thursday,0,72,1,29,success,26-01-2027 05:48
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,Tatkal,25-05-2027,Tuesday,0,72,4,35,success,26-04-2027 13:15
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,Tatkal,17-12-2027,Friday,0,64,5,31,success,01-12-2027 18:31
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,26-12-2027,Sunday,1,72,6,21,success,08-12-2027 19:03
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,04-09-2027,Saturday,1,72,3,16,success,18-08-2027 20:03
T010,Delhi-Pune,New Delhi,Pune,1450,3A,General,06-05-2027,Thursday,0,64,4,38,success,22-04-2027 07:06
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,2A,General,31-07-2027,Saturday,1,46,6,22,success,24-07-2027 13:00
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,2A,Tatkal,25-08-2027,Wednesday,0,46,2,19,success,30-07-2027 11:23
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,3A,General,02-02-2027,Tuesday,0,64,2,41,success,22-01-2027 22:23
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,10-05-2027,Monday,0,72,4,28,success,28-04-2027 19:55
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,General,24-06-2027,Thursday,0,72,4,47,success,20-06-2027 14:58
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,General,28-10-2027,Thursday,0,72,7,49,success,12-10-2027 05:28
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,01-03-2027,Monday,0,64,2,37,success,05-02-2027 00:04
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,21-12-2027,Tuesday,0,72,7,33,success,21-11-2027 21:36
T009,Pune-Delhi,Pune,New Delhi,1450,3A,Tatkal,18-05-2027,Tuesday,0,64,5,26,success,02-05-2027 14:44
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,13-10-2027,Wednesday,0,72,4,36,success,05-10-2027 07:14
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,2A,General,29-06-2027,Tuesday,0,46,3,37,success,17-06-2027 19:37
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,1A,Tatkal,02-03-2027,Tuesday,0,24,5,5,success,06-02-2027 10:25
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,General,07-09-2027,Tuesday,0,72,2,50,success,12-08-2027 20:50
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,2A,Tatkal,30-01-2027,Saturday,1,46,3,21,success,16-01-2027 14:30
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,2A,Tatkal,23-06-2027,Wednesday,0,46,7,25,success,06-06-2027 23:12
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,3A,General,16-05-2027,Sunday,1,64,4,42,success,22-04-2027 02:26
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,21-12-2027,Tuesday,0,64,6,39,success,27-11-2027 17:52
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,05-12-2027,Sunday,1,72,7,25,success,04-11-2027 08:12
T009,Pune-Delhi,Pune,New Delhi,1450,2A,Tatkal,20-05-2027,Thursday,0,46,7,22,success,14-05-2027 16:21
T010,Delhi-Pune,New Delhi,Pune,1450,2A,General,25-08-2027,Wednesday,0,46,3,21,success,03-08-2027 13:09
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,Tatkal,08-12-2027,Wednesday,0,64,4,34,success,04-12-2027 19:40
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,General,11-10-2027,Monday,0,72,1,50,success,17-09-2027 05:28
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,3A,General,13-02-2027,Saturday,1,64,6,30,success,06-02-2027 01:12
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,Tatkal,18-03-2027,Thursday,0,64,6,30,success,26-02-2027 15:09
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,3A,Tatkal,26-10-2027,Tuesday,0,64,5,34,success,18-10-2027 13:13
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,3A,Tatkal,03-11-2027,Wednesday,0,64,5,35,success,17-10-2027 16:08
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,SL,General,12-06-2027,Saturday,1,72,3,47,success,29-05-2027 06:51
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,2A,Tatkal,28-02-2027,Sunday,1,46,4,18,success,04-02-2027 02:11
T009,Pune-Delhi,Pune,New Delhi,1450,3A,Tatkal,21-04-2027,Wednesday,0,64,6,30,success,12-04-2027 22:51
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,27-11-2027,Saturday,1,72,7,27,success,28-10-2027 19:52
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,General,27-03-2027,Saturday,1,72,1,40,success,16-03-2027 21:22
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,3A,General,16-06-2027,Wednesday,0,64,2,40,success,02-06-2027 20:23
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,3A,Tatkal,12-04-2027,Monday,0,64,5,31,success,04-04-2027 03:38
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,2A,General,01-05-2027,Saturday,1,46,2,25,success,28-04-2027 21:31
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,22-02-2027,Monday,0,72,4,23,success,22-01-2027 15:06
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,General,25-12-2027,Saturday,1,72,5,44,success,25-11-2027 04:55
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,SL,Tatkal,02-10-2027,Saturday,1,72,7,20,success,15-09-2027 10:26
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,14-02-2027,Sunday,1,72,2,30,success,06-02-2027 21:20
T009,Pune-Delhi,Pune,New Delhi,1450,3A,General,02-12-2027,Thursday,0,64,5,45,success,01-11-2027 08:22
T010,Delhi-Pune,New Delhi,Pune,1450,3A,Tatkal,28-04-2027,Wednesday,0,64,5,26,success,14-04-2027 18:54
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,15-01-2027,Friday,0,72,6,26,success,12-01-2027 21:43
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,2A,Tatkal,04-07-2027,Sunday,1,46,6,18,success,15-06-2027 08:16
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,2A,Tatkal,10-07-2027,Saturday,1,46,7,21,success,14-06-2027 13:29
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,2A,Tatkal,16-12-2027,Thursday,0,46,5,21,success,12-12-2027 09:49
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,General,12-08-2027,Thursday,0,72,6,37,success,29-07-2027 11:46
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,Tatkal,17-12-2027,Friday,0,72,5,26,success,17-11-2027 00:36
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,Tatkal,19-04-2027,Monday,0,64,4,30,success,09-04-2027 04:42
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,3A,General,23-08-2027,Monday,0,64,4,39,success,16-08-2027 11:39
T009,Pune-Delhi,Pune,New Delhi,1450,3A,General,09-03-2027,Tuesday,0,64,4,40,success,06-02-2027 03:46
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,25-04-2027,Sunday,1,72,5,22,success,07-04-2027 14:42
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,10-07-2027,Saturday,1,72,6,24,success,04-07-2027 20:23
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,2A,Tatkal,29-01-2027,Friday,0,46,3,25,success,05-01-2027 21:17
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,3A,General,01-11-2027,Monday,0,64,2,38,success,26-10-2027 05:17
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,01-11-2027,Monday,0,72,3,36,success,26-10-2027 18:22
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,2A,General,27-05-2027,Thursday,0,46,1,35,success,17-05-2027 12:03
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,3A,Tatkal,18-02-2027,Thursday,0,64,2,29,success,22-01-2027 23:31
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,SL,General,19-11-2027,Friday,0,72,2,49,success,05-11-2027 12:41
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,06-05-2027,Thursday,0,72,4,31,success,08-04-2027 08:07
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,28-03-2027,Sunday,1,72,4,30,success,25-02-2027 01:29
T010,Delhi-Pune,New Delhi,Pune,1450,SL,General,17-06-2027,Thursday,0,72,2,50,success,07-06-2027 02:37
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,08-05-2027,Saturday,1,72,1,23,success,14-04-2027 20:12
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,Tatkal,13-12-2027,Monday,0,72,3,28,success,09-12-2027 14:55
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,2A,General,18-06-2027,Friday,0,46,3,28,success,08-06-2027 12:34
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,17-01-2027,Sunday,1,72,1,21,success,08-01-2027 06:20
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,3A,Tatkal,07-03-2027,Sunday,1,64,7,18,success,27-02-2027 14:43
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,Tatkal,11-01-2027,Monday,0,72,1,34,success,09-01-2027 10:57
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,2A,General,04-04-2027,Sunday,1,46,4,31,success,01-04-2027 18:52
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,3A,Tatkal,21-01-2027,Thursday,0,64,2,22,success,11-01-2027 19:53
T009,Pune-Delhi,Pune,New Delhi,1450,3A,Tatkal,23-05-2027,Sunday,1,64,4,13,success,21-05-2027 16:55
T010,Delhi-Pune,New Delhi,Pune,1450,2A,General,09-01-2027,Saturday,1,46,7,25,success,03-01-2027 03:50
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,14-09-2027,Tuesday,0,72,1,23,success,12-09-2027 07:47
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,3A,Tatkal,15-01-2027,Friday,0,64,4,26,success,04-01-2027 14:56
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,General,27-07-2027,Tuesday,0,72,1,44,success,02-07-2027 19:25
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,General,30-11-2027,Tuesday,0,64,3,44,success,01-11-2027 08:48
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,14-03-2027,Sunday,1,72,6,14,success,24-02-2027 22:23
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,2A,Tatkal,11-12-2027,Saturday,1,46,7,8,success,23-11-2027 22:54
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,14-06-2027,Monday,0,64,7,32,success,14-05-2027 11:16
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,General,22-11-2027,Monday,0,72,3,46,success,01-11-2027 21:12
T009,Pune-Delhi,Pune,New Delhi,1450,2A,Tatkal,20-04-2027,Tuesday,0,46,3,17,success,18-04-2027 16:33
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,25-07-2027,Sunday,1,72,4,21,success,24-06-2027 08:41
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,08-12-2027,Wednesday,0,72,2,31,success,01-12-2027 10:23
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,SL,Tatkal,25-10-2027,Monday,0,72,5,27,success,08-10-2027 03:08
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,2A,Tatkal,29-11-2027,Monday,0,46,2,12,success,25-11-2027 03:51
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,18-04-2027,Sunday,1,72,5,28,success,12-04-2027 00:15
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,2A,Tatkal,23-11-2027,Tuesday,0,46,6,12,success,27-10-2027 09:09
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,General,03-01-2027,Sunday,1,72,6,48,success,29-12-2026 21:52
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,30-12-2027,Thursday,0,64,3,43,success,22-12-2027 10:05
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,3A,Tatkal,05-10-2027,Tuesday,0,64,1,34,success,22-09-2027 23:54
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,07-10-2027,Thursday,0,72,6,26,success,25-09-2027 10:04
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,26-08-2027,Thursday,0,72,5,29,success,09-08-2027 15:06
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,3A,Tatkal,06-06-2027,Sunday,1,64,7,21,success,21-05-2027 20:03
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,3A,Tatkal,18-05-2027,Tuesday,0,64,4,35,success,29-04-2027 08:43
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,3A,Tatkal,23-01-2027,Saturday,1,64,1,18,success,12-01-2027 05:38
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,Tatkal,02-06-2027,Wednesday,0,64,4,23,success,31-05-2027 17:55
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,3A,Tatkal,03-10-2027,Sunday,1,64,6,27,success,18-09-2027 20:50
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,2A,Tatkal,29-01-2027,Friday,0,46,4,15,success,07-01-2027 08:26
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,Tatkal,08-08-2027,Sunday,1,64,1,20,success,03-08-2027 18:58
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,3A,Tatkal,23-08-2027,Monday,0,64,6,24,success,11-08-2027 20:32
T009,Pune-Delhi,Pune,New Delhi,1450,1A,Tatkal,15-10-2027,Friday,0,24,3,11,success,04-10-2027 20:39
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,02-05-2027,Sunday,1,72,6,30,success,13-04-2027 10:39
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,General,18-11-2027,Thursday,0,72,2,48,success,27-10-2027 19:46
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,3A,General,04-02-2027,Thursday,0,64,7,36,success,15-01-2027 06:12
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,Tatkal,14-08-2027,Saturday,1,72,1,24,success,06-08-2027 17:32
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,3A,Tatkal,04-10-2027,Monday,0,64,4,19,success,16-09-2027 01:06
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,09-07-2027,Friday,0,72,6,39,success,13-06-2027 13:44
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,2A,General,17-02-2027,Wednesday,0,46,7,33,success,08-02-2027 22:31
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,2A,Tatkal,09-10-2027,Saturday,1,46,7,6,fail,03-10-2027 19:39
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,05-08-2027,Thursday,0,72,5,33,success,29-07-2027 19:10
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,08-04-2027,Thursday,0,72,6,38,success,22-03-2027 09:48
